age,sleep_hours,tasks_planned,tasks_completed,focus_hours,stress_level,motivation_level,task_interest,self_control,routine_consistency,peak_productivity_time,screen_time_minutes,procrastination_score
22,8.6,4,3,7.1,2,4,3.0,5.0,Yes,Morning,83,0
35,5.1,6,4,7.4,4,4,3.0,5.0,No,Morning,109,0
30,6.1,4,3,5.4,2,4,3.0,4.0,Yes,Morning,159,0
26,6.7,6,5,7.6,5,1,3.0,5.0,Yes,Morning,109,0
23,5.2,4,3,5.4,3,3,3.0,4.0,No,Morning,170,0
36,5.0,5,4,7.0,3,5,4.0,5.0,No,Morning,73,0
22,8.4,4,2,7.1,3,2,2.0,4.0,Yes,Morning,135,0
34,8.3,5,4,7.2,1,5,4.0,5.0,Yes,Morning,108,0
38,7.2,7,6,7.9,3,2,3.0,5.0,Yes,Morning,130,0
26,5.7,3,2,5.8,3,3,3.0,4.0,No,Morning,155,0
26,6.4,6,4,7.2,5,5,4.0,5.0,Yes,Morning,175,0
39,5.4,5,4,7.0,2,2,3.0,5.0,No,Morning,150,0
36,8.2,3,2,7.1,4,3,3.0,5.0,Yes,Morning,86,0
19,7.0,3,2,6.0,4,2,2.0,4.0,Yes,Morning,140,0
23,7.3,5,4,6.5,4,3,3.0,5.0,Yes,Morning,166,0
39,8.0,6,5,7.1,4,3,3.0,5.0,Yes,Morning,111,0
18,6.9,7,5,5.5,1,3,3.0,4.0,Yes,Morning,146,0
37,6.3,7,6,7.7,4,1,3.0,5.0,Yes,Morning,127,0
36,6.2,5,3,7.4,2,5,4.0,5.0,Yes,Morning,121,0
17,7.6,6,4,6.8,3,4,3.0,5.0,Yes,Morning,159,0
39,6.2,7,4,7.6,3,1,2.0,5.0,Yes,Morning,79,0
27,7.0,7,6,5.6,2,3,3.0,4.0,Yes,Morning,180,0
21,5.3,5,4,6.1,2,3,3.0,5.0,No,Morning,96,0
17,8.1,4,3,5.1,1,4,3.0,4.0,Yes,Morning,97,0
36,7.1,6,5,7.2,1,5,4.0,5.0,Yes,Morning,72,0
16,5.8,3,2,5.4,4,5,4.0,4.0,No,Morning,116,0
27,5.4,5,3,6.1,3,2,2.0,4.0,No,Morning,119,0
37,5.4,5,3,6.6,1,2,2.0,4.0,No,Morning,144,0
27,8.0,4,3,6.7,2,3,3.0,5.0,Yes,Morning,111,0
40,5.6,5,3,6.1,1,1,2.0,4.0,No,Morning,155,0
32,6.2,3,2,5.2,3,1,2.0,4.0,Yes,Morning,108,0
25,6.2,7,5,7.7,2,2,3.0,5.0,Yes,Morning,75,0
31,5.1,3,2,6.3,3,1,2.0,4.0,No,Morning,69,0
30,6.2,6,5,5.5,4,2,3.0,5.0,Yes,Morning,123,0
30,8.4,4,3,7.7,5,3,3.0,5.0,Yes,Morning,70,0
34,5.4,4,2,6.7,3,2,2.0,4.0,No,Morning,94,0
27,6.3,5,4,5.3,1,3,3.0,4.0,Yes,Morning,167,0
38,5.5,5,3,5.7,3,5,4.0,4.0,No,Morning,135,0
35,6.2,3,2,7.6,3,2,2.0,5.0,Yes,Morning,116,0
40,8.7,3,2,6.6,2,3,3.0,5.0,Yes,Morning,83,0
18,6.3,7,5,6.1,5,4,3.0,4.0,Yes,Morning,125,0
20,6.9,5,4,6.0,4,4,4.0,4.0,Yes,Morning,171,0
34,7.3,3,2,7.2,5,4,3.0,5.0,Yes,Morning,91,0
22,6.9,6,4,5.6,2,4,3.0,4.0,Yes,Morning,87,0
36,7.8,5,4,7.3,1,4,4.0,5.0,Yes,Morning,118,0
24,8.1,5,4,7.9,2,2,3.0,5.0,Yes,Morning,139,0
22,6.5,6,4,6.0,5,2,3.0,4.0,Yes,Morning,84,0
33,7.2,7,5,5.3,5,5,4.0,4.0,Yes,Morning,161,0
19,6.5,3,2,6.9,4,3,3.0,4.0,Yes,Morning,178,0
40,5.0,4,3,5.1,1,4,3.0,4.0,No,Morning,104,0
29,5.0,3,2,7.5,2,4,3.0,5.0,No,Morning,155,0
33,5.4,5,4,6.0,3,5,4.0,5.0,No,Morning,123,0
24,8.7,6,4,5.9,4,3,3.0,4.0,Yes,Morning,172,0
36,5.5,6,5,6.7,4,3,3.0,5.0,No,Morning,113,0
17,7.6,7,6,6.5,5,1,3.0,5.0,Yes,Morning,146,0
35,5.6,7,5,6.7,1,2,3.0,5.0,No,Morning,153,0
30,7.2,6,4,5.8,2,4,3.0,4.0,Yes,Morning,111,0
22,8.4,7,5,7.0,3,1,2.0,5.0,Yes,Morning,171,0
27,6.1,3,2,7.2,4,4,3.0,5.0,Yes,Morning,126,0
23,8.4,3,2,5.2,1,1,2.0,4.0,Yes,Morning,153,0
30,8.1,4,3,7.3,2,2,3.0,5.0,Yes,Morning,154,0
18,6.1,5,4,5.2,4,4,4.0,4.0,Yes,Morning,81,0
29,8.0,7,5,5.3,1,2,3.0,4.0,Yes,Morning,141,0
32,5.7,7,6,6.9,4,2,3.0,5.0,No,Morning,117,0
19,8.5,7,6,7.8,5,2,3.0,5.0,Yes,Morning,98,0
33,5.1,6,5,5.1,4,5,4.0,4.0,No,Morning,176,0
23,5.6,5,3,7.8,1,2,2.0,5.0,No,Morning,96,0
19,8.4,7,6,7.2,5,1,3.0,5.0,Yes,Morning,108,0
17,7.7,6,4,5.3,5,3,3.0,4.0,Yes,Morning,160,0
21,6.3,4,3,7.4,2,1,2.0,5.0,Yes,Morning,66,0
37,8.1,3,2,6.9,2,2,2.0,4.0,Yes,Morning,150,0
25,5.5,6,5,7.3,5,1,3.0,5.0,No,Morning,161,0
19,5.6,5,4,7.9,3,1,2.0,5.0,No,Morning,141,0
37,7.1,3,2,5.9,4,5,4.0,4.0,Yes,Morning,114,0
33,8.1,7,5,5.0,1,4,3.0,4.0,Yes,Morning,99,0
27,7.5,7,6,5.4,1,5,4.0,5.0,Yes,Morning,61,0
17,5.3,5,4,7.7,5,1,2.0,5.0,No,Morning,105,0
25,8.2,5,3,6.9,1,1,2.0,5.0,Yes,Morning,91,0
